Country,Sport,WeightedGold,WeightedSilver,WeightedBronze,TotalAthletes,AppearanceYears,LastParticipation,MedalImpact,ParticipationImpact,RecencyImpact,NormMedal,NormParticipation,NormRecency,WeightMedal,WeightParticipation,WeightRecency,ImpactScore
AFG,Athletics,0.0,0.0,0.0,23.0,8,2024.0,0.0,3.1780539,1.0,-0.193143334709392,1.7329021662906208,2.3455302092940844,0.7,0.25,0.05,0.41530171774078506
AFG,Wrestling,0.0,0.0,0.0,42.0,7,2004.0,0.0,3.7612002,0.2,-0.193143334709392,2.1409910525714158,-0.4491727147551792,0.7,0.25,0.05,0.37758879310852056
AFG,Hockey,0.0,0.0,0.0,39.0,3,1956.0,0.0,3.6888795,0.2,-0.193143334709392,2.090380644708118,-0.4491727147551792,0.7,0.25,0.05,0.36493619114269615
AFG,Taekwondo,0.0,0.0,1.6,5.0,3,2020.0,1.6,1.7917595,1.0,-0.15163932401177913,0.7627660430689046,2.3455302092940844,0.7,0.25,0.05,0.201820494423685
AFG,Football,0.0,0.0,0.0,11.0,1,1948.0,0.0,2.4849067,0.2,-0.193143334709392,1.2478341046797627,-0.4491727147551792,0.5,0.25,0.05,0.19292822307748572
AFG,Judo,0.0,0.0,0.0,4.0,4,2024.0,0.0,1.609438,1.0,-0.193143334709392,0.6351764598755437,2.3455302092940844,0.7,0.25,0.05,0.14087029113701577
AFG,Cycling Road,0.0,0.0,0.0,3.0,1,2024.0,0.0,1.3862944,1.0,-0.193143334709392,0.47901940496163004,2.3455302092940844,0.5,0.25,0.05,0.14045969435041572
AFG,Swimming,0.0,0.0,0.0,2.0,2,2024.0,0.0,1.0986123,1.0,-0.193143334709392,0.2776979814580465,2.3455302092940844,0.5,0.25,0.05,0.09012933847451984
AFG,Boxing,0.0,0.0,0.0,5.0,3,2012.0,0.0,1.7917595,0.2,-0.193143334709392,0.7627660430689046,-0.4491727147551792,0.7,0.25,0.05,0.03303254073289281
AFG,Shooting,0.0,0.0,0.0,1.0,1,2020.0,0.0,0.6931472,1.0,-0.193143334709392,-0.006048656649228138,2.3455302092940844,0.5,0.25,0.05,0.019192678947701186
AFG,3X3 Basketball,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Aeronautics,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Alpinism,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Archery,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Art Competitions,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Artistic Gymnastics,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Artistic Swimming,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Badminton,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Baseball,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Baseball/Softball,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Basketball,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Basque Pelota,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Beach Volleyball,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Breaking,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Canoe Slalom,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Canoe Sprint,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Canoeing,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Cricket,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Croquet,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Cycling,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Cycling Bmx Freestyle,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Cycling Bmx Racing,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Cycling Mountain Bike,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Cycling Track,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Diving,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Equestrian,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Equestrianism,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Fencing,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Figure Skating,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Golf,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Gymnastics,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Handball,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Ice Hockey,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Jeu De Paume,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Karate,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Lacrosse,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Marathon Swimming,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Modern Pentathlon,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Motorboating,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Polo,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
AFG,Racquets,,,,0.0,0,,,0.0,0.2,,-0.4911167182600863,-0.4491727147551792,0.5,0.25,0.05,
